id,School_Name,Ship_Address_Line_1,Ship_Address_Line_2,locality,Mail_Zip,Overall_Accountability_Rating,Overall_Accountability_Score,School_Enrollment,SchoolLevel,SWD,ED,LEP,Lowest_Grade_in_the_School,Highest_Grade_in_the_School,School_Student_Achievement_Score,School_ELA_Achievement_Score,School_Mathematics_Achievement_Score,School_Student_Growth_Score,School_ELA_Growth_Score,School_Mathematics_Growth_Score,School_Closing_Gaps_Score,School_ELA_Gap_Score,School_Mathematics_Gap_Score,School_Graduation_Gap_Score,School_On-Track_and_Postsecondary_Readiness_Score,School_Graduation_Rate_Score,School_Attendance_Rate_Score,School_Third-Grade_ELA_Achievement_Score,School_Eighth-Grade_Mathematics_Achievement_Score,Agency_type,Charter_school_indicator,Charter_Type,District_or_Authorizer,Enrollment_type,Enrollment_detail
3619-458,Project STAY-Supporting Teachers and Youth,609 N 8th St,Milwaukee WI  53233-2405,Milwaukee,53233,Alternate Rating - Needs Improvement,AR,243,High School,12.8,83.1,2.1,9,12,,,,,,,,,,,,,,,,Public school,No,,,District,District
3619-26,Pulaski High,2500 W Oklahoma Ave,Milwaukee WI  53215-4437,Milwaukee,53215,Fails to Meet Expectations,25.7,868,High School,25.3,81.2,30.4,9,12,11.8,7.7,4.1,,,,50.6,12,16.1,22.5,53.5,53.5,,,,Public school,No,,,District,District
5439-80,Rawson Elementary,1410 Rawson Ave,South Milwaukee WI  53172-1995,South Milwaukee,53172,Exceeds Expectations,74.7,463,Elementary School,14.5,59.4,7.8,K4,5,53,26.6,26.4,76.5,35.9,40.6,71,32.6,38.4,,83.1,,74.8,8.3,,Public school,No,,,District,District
3619-435,Reagan College Preparatory High,4965 S 20th St,Milwaukee WI  53221-2860,Milwaukee,53221,Exceeds Expectations,74.2,1304,High School,13.3,43.1,2.3,9,12,66.3,39.1,27.2,,,,71.7,19.2,18.2,34.3,95.1,95.1,,,,Public school,No,,,District,District
6419-80,Richards Elementary,5812 N Santa Monica Blvd,Whitefish Bay WI  53217-4699,Whitefish Bay,53217,Significantly Exceeds Expectations,90.8,667,Elementary School,10.6,0.7,1,K4,5,90.8,45.6,45.3,55.6,29.2,26.4,94,46.8,47.2,,94.8,,76.6,18.2,,Public school,No,,,District,District
NA-1530,Right Step Inc,8684 N. 76th Place,"Milwaukee, WI 53223",Milwaukee,53223,Fails to Meet Expectations,46.8,118,Elementary/Secondary School,6.8,95.8,0,5,12,6.7,4.9,1.8,49,24.5,24.5,,,,,72.8,,72.5,,0.3,Private school,No,,,Private,Private
3619-313,Riley Elementary,2424 S 4th St,Milwaukee WI  53207-1411,Milwaukee,53207,Meets Expectations,70.1,486,Elementary School,22.4,88.5,46.9,K3,5,29.7,14.5,15.2,66.9,16.9,50,75.6,36.7,38.9,,78.4,,72.1,6.3,,Public school,No,,,District,District
NA-1351,Risen Savior Evangelical Lutheran School,9550 W. Brown Deer Road,"Milwaukee, WI 53224",Milwaukee,53224,Meets Expectations,64.7,240,Elementary School,4.6,92.5,3.3,K4,8,46.7,22.1,24.6,59.4,24.5,34.9,,,,,84.2,,75.3,5,3.9,Private school,No,,,Private,Private
3619-194,River Trail Elementary,12021 W Florist Ave,Milwaukee WI  53225-2119,Milwaukee,53225,Meets Few Expectations,61.6,460,Elementary School,20.7,96.7,4.3,K3,8,22.9,12.8,10.1,58.4,28.2,30.2,60.3,26.7,33.6,,76.2,,72.1,1.9,2.2,Public school,No,,,District,District
3619-29,Riverside High,1615 E Locust St,Milwaukee WI  53211-3222,Milwaukee,53211,Fails to Meet Expectations,47.6,1498,High School,17.2,80,5.5,9,12,26.9,18.9,8,,,,59.6,14,14.2,31.4,90,90,,,,Public school,No,,,District,District
1900-100,Robinwood Elementary,10705 W Robinwood Ln,Franklin WI  53132-2299,Franklin,53132,Significantly Exceeds Expectations,92.9,524,Elementary School,7.1,12.4,8.6,PK,6,95.2,47.2,48,71.8,37.8,34,94.8,50,44.8,,95.5,,76.7,18.8,,Public school,No,,,District,District
8133-100,Rocketship Southside Community Prep,3003 W Cleveland Ave,Milwaukee WI  53215,Milwaukee,53215,Meets Expectations,72.8,509,Elementary School,11,92.5,43.6,K4,5,57.7,26.6,31.1,77.4,31.1,46.3,57.4,7.4,50,,83,,73.6,9.4,,Non District Charter Schools,Yes,2R,City of Milwaukee,Autonomous charter,Non-District Charter
3619-177,Rogers Street Academy,2430 W Rogers St,Milwaukee WI  53204-3655,Milwaukee,53204,Meets Expectations,71.9,647,Elementary School,19.6,100,34.2,K3,8,31.1,16.6,14.5,72.7,35.9,36.8,71.3,35.8,35.5,,79.2,,72.8,3.1,3.3,Public school,No,,,District,District
6244-200,Roosevelt Elementary,2535 N 73rd St,Wauwatosa WI  53213-1299,Wauwatosa,53213,Significantly Exceeds Expectations,87,395,Elementary School,9.1,19,0.5,K4,5,89.6,46.5,43.1,94.4,50,44.4,72,37.6,34.4,,94,,76,18,,Public school,No,,,District,District
3619-59,Roosevelt Middle,800 W Walnut St,Milwaukee WI  53205-1717,Milwaukee,53205,Fails to Meet Expectations,49.9,339,Middle School,26.5,92.3,0.6,6,8,13.5,8.8,4.8,46.1,20.7,25.4,64.9,29.1,35.8,,69.1,,67,,2.1,Public school,No,,,District,District
NA-2750,Saint Adalbert Grade School,1913 W. Becher St.,"Milwaukee, WI 53215",Milwaukee,53215,Fails to Meet Expectations,50.1,470,Elementary School,0.6,1.7,51.5,K4,8,36.9,21.6,15.3,47,25.4,21.6,,,,,86.9,,80,4,2.9,Private school,No,,,Private,Private
NA-3100,Saint Anthony School,1747 S. 9th St.,"Milwaukee, WI 53204",Milwaukee,53204,Meets Expectations,71.4,1931,Elementary/Secondary School,0.5,98.9,22.8,K4,12,41.2,22.4,18.8,70.8,37.8,33,,,,,82,,73.7,4.5,3.8,Private school,No,,,Private,Private
NA-3410,Saint Catherine School,2647 N. 51st St.,"Milwaukee, WI 53210",Milwaukee,53210,Exceeds Expectations,73.6,164,Elementary School,0.6,93.3,0,K4,8,19.4,12.7,6.7,75.5,33,42.5,,,,,84.6,,80,2.8,1.8,Private school,No,,,Private,Private
NA-3455,Saint Charles Borromeo School,3100 W. Parnell Ave.,"Milwaukee, WI 53221",Milwaukee,53221,Significantly Exceeds Expectations,86.4,131,Elementary School,0,48.9,0,K4,8,65.1,36.5,28.6,94.4,50,44.4,,,,,90.1,,76.4,13.7,,Private school,No,,,Private,Private
NA-3580,Saint Coletta Day School of Milwaukee,1740 N. 55th St.,"Milwaukee, WI 53208",Milwaukee,53208,Not Rated*,,17,Elementary/Secondary School,70.6,94.1,0,3,12,,,,,,,,,,,,,,,,Private school,No,,,Private,Private
5026-40,Saint Francis High,4225 S Lake Dr,Saint Francis WI  53235-5941,Saint Francis,53235,Meets Few Expectations,54.7,544,High School,8.6,46.3,4.8,9,12,41.3,23.4,17.9,,,,50.8,8.9,12.8,29.1,89.3,89.3,,,,Public school,No,,,District,District
NA-3935,Saint Gregory the Great Grade School,3132 S. 63rd St.,"Milwaukee, WI 53219",Milwaukee,53219,Meets Expectations,71.8,263,Elementary School,0.8,57.8,7.3,K4,8,61.6,34.9,26.8,68,32.1,35.9,,,,,86.9,,75.1,7.6,4.2,Private school,No,,,Private,Private
NA-4210,Saint Joan Antida High School,1341 N. Cass St.,"Milwaukee, WI 53202",Milwaukee,53202,Not Rated*,,140,High School,0,97.9,1.4,9,12,,,,,,,,,,,,,,,,Private school,No,,,Private,Private
NA-4420,Saint John Kanty Grade School,2840 S. 10th St.,"Milwaukee, WI 53215",Milwaukee,53215,Meets Expectations,68.4,186,Elementary School,2.7,86.6,29,K4,8,43.2,20.1,23.1,65.1,32.1,33,,,,,84.8,,76.6,4.7,3.5,Private school,No,,,Private,Private
NA-4460,Saint John Lutheran Grade School,7877 N. Pt. Washington Rd.,"Glendale, WI 53217",Fox Point,53217,Not Rated*,,36,Elementary School,5.6,11.1,0,K4,8,,,,,,,,,,,,,,,,Private school,No,,,Private,Private
NA-4655,Saint Johns Evangelical Lutheran School,4001 S. 68th Street,"Milwaukee, WI 53220",Milwaukee,53220,Exceeds Expectations,77.8,161,Elementary School,0,64,25.5,K4,8,63,27.6,35.4,75.5,36.8,38.7,,,,,88.9,,76.6,4.5,7.8,Private school,No,,,Private,Private
NA-4950,Saint Josaphat Parish School,801 W. Lincoln Ave.,"Milwaukee, WI 53215",Milwaukee,53215,Meets Few Expectations,54.5,245,Elementary School,2,9,2.4,K4,8,41.2,25.8,15.5,67,33,34,,,,,82.4,,77.1,2.5,2.8,Private school,No,,,Private,Private
NA-8224,Saint Joseph Academy,3027 S. 16th St.,"Milwaukee, WI 53215",Milwaukee,53215,Meets Few Expectations,53.6,441,Elementary School,0.7,73.7,32.7,K4,6,28.4,13.1,15.3,47,21.6,25.4,,,,,79.1,,75,4.1,,Private school,No,,,Private,Private
NA-4980,Saint Joseph Elementary,2750 North 122nd Street,"Wauwatosa, Wisconsin 53222",Wauwatosa,53222,Not Rated*,,31,Elementary School,9.7,3.2,0,K4,8,,,,,,,,,,,,,,,,Private school,No,,,Private,Private
NA-5640,Saint Lucas Lutheran School,648 E. Dover St.,"Milwaukee, WI 53207",Milwaukee,53207,Exceeds Expectations,78.4,205,Elementary School,1,38,0,K4,8,60.7,30.3,30.4,87,37.8,49.2,,,,,88.8,,76.8,6.3,5.7,Private school,No,,,Private,Private
NA-5710,Saint Marcus Lutheran School,2215 North Palmer,"Milwaukee, WI 53212",Milwaukee,53212,Exceeds Expectations,76.9,887,Elementary School,6.4,79.7,0,K4,8,54.2,26.6,27.7,75.5,34.9,40.6,,,,,87.6,,76.1,6.1,5.4,Private school,No,,,Private,Private
NA-5720,Saint Margaret Mary Grade School,3950 N. 92nd St.,"Milwaukee, WI 53222",Milwaukee,53222,Meets Few Expectations,60.2,259,Elementary School,2.3,84.2,0,K4,8,38.5,23.6,14.9,52.8,22.6,30.2,,,,,86.8,,79.5,4,3.3,Private school,No,,,Private,Private
NA-2725,Saint Martin of Tours Parish School,7933 South 116th St.,"Franklin, WI 53132",Franklin,53132,Significantly Exceeds Expectations,84.5,87,Elementary School,3.4,10.3,0,K4,8,80.1,39.6,40.5,94.4,44.4,50,,,,,90.2,,77.2,13,,Private school,No,,,Private,Private
NA-5830,Saint Martini Lutheran School,1520 S Cesar E Chavez Dr,"Milwaukee, WI 53204",Milwaukee,53204,Exceeds Expectations,78.4,252,Elementary School,0.8,98.8,34.5,K4,8,48,26,22.1,79.4,41.6,37.8,,,,,84.9,,76.2,5.1,3.6,Private school,No,,,Private,Private
NA-6666,Saint Matthew Elementary School,9329 S Chicago Rd,"Oak Creek, WI 53154",Oak Creek,53154,Not Rated*,,30,Elementary School,3.3,26.7,6.7,K4,8,,,,,,,,,,,,,,,,Private school,No,,,Private,Private
NA-6690,Saint Matthias School,9300 W. Beloit Rd.,"Milwaukee, WI 53227",Milwaukee,53227,Exceeds Expectations,76.5,260,Elementary School,1.5,15.8,0,K4,8,74.9,41.2,33.8,59.4,27.3,32.1,,,,,92.5,,80,7.3,5.2,Private school,No,,,Private,Private
NA-7240,Saint Pauls Lutheran Grade School,7821 W. Lincoln Ave.,"West Allis, WI 53219",West Allis,53219,Not Rated*,,43,Elementary School,0,74.4,0,K4,8,,,,,,,,,,,,,,,,Private school,No,,,Private,Private
NA-7400,Saint Peter Immanuel Lutheran School,7801 W. Acacia St.,"Milwaukee, WI 53223",Milwaukee,53223,Fails to Meet Expectations,41.1,173,Elementary School,1.7,92.5,4,K4,8,9.8,7.4,2.4,30.9,29.2,1.7,,,,,78.2,,76,1.9,0.3,Private school,No,,,Private,Private
NA-1302,Saint Philips Lutheran School,3012 N. Holton Street,"Milwaukee, WI 53212",Milwaukee,53212,Exceeds Expectations,79.7,136,Elementary School,0.7,80.9,0,K4,8,33.4,18.9,14.5,85,40.6,44.4,,,,,79.1,,72,4.8,2.3,Private school,No,,,Private,Private
NA-1200,Saint Rafael the Archangel North & South Campus,2251 S. 31st St.,"Milwaukee, WI 53215",Milwaukee,53215,Fails to Meet Expectations,52.4,382,Elementary School,3.1,97.9,34.8,K4,8,45.7,25.8,19.9,41.3,14,27.3,,,,,84.3,,76.1,4.1,4.1,Private school,No,,,Private,Private
NA-7670,Saint Roman Grade School,1810 W. Bolivar Ave.,"Milwaukee, WI 53221",Milwaukee,53221,Meets Expectations,63.4,256,Elementary School,0.8,73,0.8,K4,8,46.9,25.9,21,57.5,33,24.5,,,,,84.3,,76.8,5.1,2.4,Private school,No,,,Private,Private
NA-7720,Saint Sebastian Grade School,1747 N. 54th St.,"Milwaukee, WI 53208",Milwaukee,53208,Significantly Exceeds Expectations,84.4,318,Elementary School,1.3,35.5,0,K4,8,71.9,42.2,29.7,91.6,50,41.6,,,,,92,,80,6.8,5.2,Private school,No,,,Private,Private
NA-7980,Saint Thomas Aquinas Academy,341 E. Norwich St.,"Milwaukee, WI 53207",Milwaukee,53207,Exceeds Expectations,75.7,193,Elementary School,0,35.8,0,K4,8,73.9,41.2,32.7,67,23.5,43.5,,,,,91.5,,75,8.3,8.2,Private school,No,,,Private,Private
NA-8371,Saint Thomas More High School,2601 E. Morgan Ave.,"Milwaukee, WI 53207",Milwaukee,53207,Meets Expectations,71.7,246,High School,0,63,0,9,12,66,39.5,26.5,,,,,,,,94.3,,94.3,,,Private school,No,,,Private,Private
NA-3160,Saint Vincent Pallotti School,201 North 76th Street,"Milwaukee, WI 53213",Milwaukee,53213,Meets Few Expectations,61.2,166,Elementary School,6.6,76.5,0,K4,8,53,29.3,23.8,53.6,28.2,25.4,,,,,84.3,,75,5.2,4.1,Private school,No,,,Private,Private
NA-8075,Salam School,4707 S 13th St.,"Milwaukee, WI 53221",Milwaukee,53221,Meets Expectations,70.6,753,Elementary/Secondary School,0,80.1,12.1,K4,12,59.3,31.8,27.6,65.1,27.3,37.8,,,,,88.8,,77.4,5.3,6.1,Private school,No,,,Private,Private
NA-8080,Salem Lutheran School,6844 N. 107th St.,"Milwaukee, WI 53224",Milwaukee,53224,Fails to Meet Expectations,48.1,132,Elementary School,1.5,65.9,1.5,K4,8,38.4,17.3,21.2,36.6,10.2,26.4,,,,,82,,76.5,5.5,,Private school,No,,,Private,Private
8107-1279,School for Early Development and Achievement (SEDA),2020 W Wells St,Milwaukee WI  53233,Milwaukee,53233,Alternate Rating - Satisfactory Progress,AR,45,Elementary School,22.2,95.6,0,K3,2,,,,,,,,,,,,,,,,Non District Charter Schools,Yes,2R,UW-Milwaukee,Autonomous charter,Non-District Charter
8001-8121,Seeds of Health Elementary Program,2433 S 15th St,Milwaukee WI  53215-3132,Milwaukee,53215,Exceeds Expectations,74.7,450,Elementary School,10.7,84.9,6.9,K4,8,50.5,27.1,23.4,71.7,38.7,33,75.1,42.2,32.9,,84.4,,75,5.9,3.5,Non District Charter Schools,Yes,2R,UW-Milwaukee,Autonomous charter,Non-District Charter
3619-1074,Shalom High,1749 N 16th St,Milwaukee WI  53205-1624,Milwaukee,53205,Alternate Rating - Needs Improvement,AR,125,High School,14.4,88.8,0,9,12,,,,,,,,,,,,,,,,Public school,No,,,District,District
6300-410,Shared Journeys,9004 W Lincoln Ave,West Allis WI  53227,West Allis,53227,Alternate Rating - Satisfactory Progress,AR,,High School,0,93.3,0,7,12,,,,,,,,,,,,,,,,Public school,Yes,Instrumentality,West Allis-West Milwaukee,District,District Instrumentality Charter
NA-8190,Sharon Junior Academy,1369 W. Meinecke Ave,"Milwaukee, WI 53206",Milwaukee,53206,Not Rated*,,5,Elementary School,0,20,0,K4,8,,,,,,,,,,,,,,,,Private school,No,,,Private,Private
4018-200,Shepard Hills Elementary,9701 S Shepard Hills Dr,Oak Creek WI  53154-5151,Oak Creek,53154,Exceeds Expectations,77.1,437,Elementary School,9.8,26.3,13.3,PK,5,72,35.7,36.4,58.5,32.1,26.4,85.1,42.2,42.9,,89.5,,75.4,14.1,,Public school,No,,,District,District
3619-319,Sherman Elementary,5110 W Locust St,Milwaukee WI  53210-1626,Milwaukee,53210,Meets Few Expectations,60.7,324,Elementary School,21,99.7,0.3,K3,8,19.4,13.1,6.3,62.3,35.9,26.4,71.7,34.5,37.2,,75.2,,72.1,1.8,1.3,Public school,No,,,District,District
NA-1167,Sherman Park Lutheran School,2703 N. Sherman Blvd.,"Milwaukee, WI 53210",Milwaukee,53210,Meets Expectations,63,246,Elementary School,3.3,95.1,0,K4,8,39.5,19.3,20.2,59.3,28.2,31.1,,,,,80,,74.7,4.4,0.9,Private school,No,,,Private,Private
NA-1704,Shining Star Christian Schools,4050 N. 95th St.,"Milwaukee, WI 53213",Milwaukee,53213,Meets Expectations,65.3,203,Elementary School,8.4,93.1,0,K4,7,22.5,13,9.5,72.7,37.8,34.9,,,,,78,,72.8,5.2,,Private school,No,,,Private,Private
5355-80,Shorewood High,1701 E Capitol Dr,Shorewood WI  53211-1996,Shorewood,53211,Exceeds Expectations,80.5,651,High School,11.8,15.4,4.3,9,12,83.3,43.8,39.5,,,,68.5,12.5,12.8,43.2,98.8,98.8,,,,Public school,No,,,District,District
5355-60,Shorewood Intermediate,3830 N Morris Blvd,Shorewood WI  53211-2299,Shorewood,53211,Exceeds Expectations,74,321,Middle School,13.4,18.7,5.3,7,8,78.5,39.2,39.4,73.7,32.1,41.6,50,23.8,26.2,,91.7,,76.1,,15.6,Public school,No,,,District,District
3619-107,Siefert Elementary,1547 N 14th St,Milwaukee WI  53205-2109,Milwaukee,53205,Meets Few Expectations,60,272,Elementary School,15.8,98.2,0,K3,5,22.5,12.3,10.3,52.7,29.2,23.5,64.1,33.1,31,,76.6,,73,3.6,,Public school,No,,,District,District
NA-8217,Siloah Lutheran School,3721 North 21st Street,"Milwaukee, WI 53206",Milwaukee,53206,Fails to Meet Expectations,43.7,178,Elementary School,0.6,3.9,0,K4,8,29.2,16.2,13,54.7,30.2,24.5,,,,,79.5,,75.8,1.3,2.4,Private school,No,,,Private,Private
3619-32,South Division High,1515 W Lapham Blvd,Milwaukee WI  53204-3236,Milwaukee,53204,Fails to Meet Expectations,30.4,1266,High School,24.6,93.4,43.6,9,12,15.3,10.2,5.2,,,,60,15.7,19.4,24.9,51.3,51.3,,,,Public school,No,,,District,District
5439-120,South Milwaukee High,801 15th Ave,South Milwaukee WI  53172,South Milwaukee,53172,Meets Few Expectations,62.2,1159,High School,10.4,41.5,2.9,9,12,49.5,26.2,23.3,,,,57.8,8.1,13.8,35.9,96.6,96.6,,,,Public school,No,,,District,District
5439-100,South Milwaukee Middle,1001 15th Ave,South Milwaukee WI  53172-1503,South Milwaukee,53172,Meets Expectations,72.2,690,Middle School,13.9,47.7,4.6,6,8,58.8,29.4,29.4,74.6,32.1,42.5,64.6,30.5,34.1,,85.6,,74.3,,11.3,Public school,No,,,District,District
3619-1086,Southeastern,4050 N 34th St,Milwaukee WI  53216-1702,Milwaukee,53216,Alternate Rating - Needs Improvement,AR,18,Middle School,27.8,88.9,0,6,8,,,,,,,,,,,,,,,,Public school,No,,,District,District
1900-120,Southwood Glen Elementary,9090 S 35th St,Franklin WI  53132-9163,Franklin,53132,Significantly Exceeds Expectations,93.2,381,Elementary School,13.1,10,6,PK,6,97.9,48.6,49.4,74.6,40.6,34,88.9,47.4,41.5,,96,,76.1,19.9,,Public school,No,,,District,District
3619-312,Starms Discovery,2035 N 25th St,Milwaukee WI  53205-1000,Milwaukee,53205,Meets Few Expectations,55.5,327,Elementary School,30.3,100,0,1,8,15.4,9,6.4,56.6,22.6,34,63.7,29.3,34.4,,73.2,,70.7,1.2,1.3,Public school,No,,,District,District
8136-8136,Stellar Collegiate Charter School,1115 S. 7th Street,"Milwaukee, WI 53204",Milwaukee,53204,Alternate Rating - Satisfactory Progress,AR,94,Elementary School,14.9,92.6,2.2,K4,5,,,,,,,,,,,,,,,,Non District Charter Schools,Yes,2R,UW-Milwaukee,Autonomous charter,Non-District Charter
1890-40,Stormonth Elementary,7301 N Longacre Rd,Milwaukee WI  53217-3595,Fox Point,53217,Significantly Exceeds Expectations,94.6,487,Elementary School,10.5,9.2,2.7,K4,4,99.4,49.5,49.9,85.1,43.5,41.6,87.7,41.7,46,,96.3,,76.5,19.8,,Public school,No,,,District,District
3619-343,Story Elementary,3815 W Kilbourn Ave,Milwaukee WI  53208-3113,Milwaukee,53208,Meets Few Expectations,57.3,399,Elementary School,11,96.5,33.3,K3,8,22.3,13.3,9,53.6,28.2,25.4,71.8,34.8,37,,76.4,,72.4,2.4,1.6,Public school,No,,,District,District
3619-344,Stuart Elementary,7001 N 86th St,Milwaukee WI  53224-4841,Milwaukee,53224,Meets Few Expectations,62.6,301,Elementary School,20.3,93.4,12,K3,5,28.5,15.6,12.9,52.8,32.1,20.7,68.4,35.5,32.9,,81.3,,74.4,6.9,,Public school,No,,,District,District
NA-1048,Tamarack Waldorf School Community School of Milwaukee Inc,1150 E. Brady Street,"Milwaukee, WI 53202",Milwaukee,53202,Fails to Meet Expectations,43.1,242,Elementary/Secondary School,0.4,62.8,0,K4,12,30.6,20.3,10.4,,,,,,,,93.3,,93.3,,,Private school,No,,,Private,Private
8001-8115,Tenor High School,840 N Jackson St,Milwaukee WI  53202,Milwaukee,53202,Meets Few Expectations,61.1,236,High School,10.2,80.9,3.4,9,12,34.7,19,15.7,,,,68.5,13.2,15.2,40.1,98.9,98.9,,,,Non District Charter Schools,Yes,2R,UW-Milwaukee,Autonomous charter,Non-District Charter
NA-1171,Texas Bufkin Christian Academy,827 North 34th Street,"Milwaukee, WI 53208",Milwaukee,53208,Not Rated*,,72,Elementary/Secondary School,4.2,100,0,K4,12,,,,,,,,,,,,,,,,Private school,No,,,Private,Private
3619-360,Thoreau Elementary,7878 N 60th St,Milwaukee WI  53223-4109,Milwaukee,53223,Fails to Meet Expectations,49,444,Elementary School,19.6,82.9,0,K3,8,19.7,13.2,6.5,43.2,25.4,17.8,63.4,30.3,33.1,,70.9,,67.9,2.4,0.6,Public school,No,,,District,District
3619-154,Thurston Woods Elementary,5966 N 35th St,Milwaukee WI  53209-4055,Milwaukee,53209,Meets Expectations,67.9,396,Elementary School,19.2,93.4,0,K3,8,21.9,11.8,10.1,75.5,34.9,40.6,74.1,35,39.1,,77.1,,72.7,2.4,2,Public school,No,,,District,District
NA-8379,Torah Academy of Milwaukee,6800 N. Green Bay Ave.,"Glendale, WI 53209",Glendale,53209,Not Rated*,,28,High School,0,3.6,0,9,12,,,,,,,,,,,,,,,,Private school,No,,,Private,Private
3619-365,Townsend Street Elementary,3360 N Sherman Blvd,Milwaukee WI  53216-3559,Milwaukee,53216,Fails to Meet Expectations,41.1,292,Elementary School,30.5,97.3,0,K3,8,13.7,8.8,4.9,28,17.8,10.2,58.9,29.8,29.1,,72.3,,69.5,2,0.8,Public school,No,,,District,District
NA-1631,TransCenter for Youth/El Puente High,1127 S 35th St.,"Milwaukee, WI 53215",Milwaukee,53215,Fails to Meet Expectations,14.6,100,High School,21,84,13,9,12,6,5.2,0.9,,,,,,,,74.1,,74.1,,,Private school,No,,,Private,Private
3619-433,Transition High,2610 W North Ave,Milwaukee WI  53205-1026,Milwaukee,53205,Alternate Rating - Satisfactory Progress,AR,171,High School,8.7,82.6,0.6,9,12,,,,,,,,,,,,,,,,Public school,No,,,District,District
3619-368,Trowbridge Street Elementary,1943 E Trowbridge St,Milwaukee WI  53207-2564,Milwaukee,53207,Exceeds Expectations,75.1,264,Elementary School,22,82.2,1.5,K3,8,43.5,24,19.6,86.9,44.4,42.5,76.1,39.1,37,,79,,72.3,3.4,3.3,Public school,No,,,District,District
6244-220,Underwood Elementary,11132 W Potter Rd,Wauwatosa WI  53226-3474,Wauwatosa,53226,Exceeds Expectations,73.2,288,Elementary School,14.2,34.4,0.7,K4,5,74.8,38.2,36.6,47,18.8,28.2,78.4,38.6,39.8,,92.3,,75.9,16.4,,Public school,No,,,District,District
8137-8137,United Community Center Acosta Middle School,615 W. Washington Street,"Milwaukee, WI 53204",Milwaukee,53204,Alternate Rating - Needs Improvement,AR,53,Middle School,0,88.7,68.6,6,8,,,,,,,,,,,,,,,,Non District Charter Schools,Yes,2R,UW-Milwaukee,Autonomous charter,Non-District Charter
NA-1686,United to Serve Academy,2212 N. 12th St.,"Milwaukee, WI 53205",Milwaukee,53205,Not Rated*,,354,Elementary/Secondary School,2,98,4,K4,12,,,,,,,,,,,,,,,,Private school,No,,,Private,Private
3619-875,Universal Academy for the College Bound,6850 N 53rd St,Milwaukee WI  53223-5239,Milwaukee,53223,Fails to Meet Expectations,50.7,1073,Elementary/Secondary School,17.8,91.4,0.3,K4,12,17.6,11.5,6.2,34.7,20.7,14,83.7,42.9,40.8,,73.3,,69.5,2.9,0.9,Public school,Yes,Non-instrumentality,Milwaukee,Autonomous charter,District Non-Instrumentality Charter
8001-8124,Veritas High,3025 W Oklahoma Ave,Milwaukee WI  53215-4347,Milwaukee,53215,Meets Expectations,68,252,High School,6.7,85.3,4,9,12,48.6,26.5,22.1,,,,72.2,17.3,16.3,38.6,98.4,98.4,,,,Non District Charter Schools,Yes,2R,UW-Milwaukee,Autonomous charter,Non-District Charter
NA-1253,Victory Christian Academy,6021 W. Lincoln Ave.,"West Allis, WI 53219",West Allis,53219,Meets Expectations,70.7,185,Elementary School,2.2,75.7,6.5,K4,8,38.9,24.2,14.8,69.8,34.9,34.9,,,,,82.6,,75.4,4.9,2.3,Private school,No,,,Private,Private
3619-387,Victory Elementary,2222 W Henry Ave,Milwaukee WI  53221-4920,Milwaukee,53221,Exceeds Expectations,77.9,571,Elementary School,11.6,93.3,26.3,K3,8,42.8,23.4,19.5,72.7,38.7,34,90.2,43.4,46.8,,82.2,,73.8,4.7,3.7,Public school,No,,,District,District
3619-390,Vieau Elementary,823 S 4th St,Milwaukee WI  53204-1724,Milwaukee,53204,Exceeds Expectations,74,731,Elementary School,21.9,94,44.5,K3,8,41,22.8,18.3,71.7,36.8,34.9,74.9,38.4,36.5,,83.9,,76.3,4.2,3.4,Public school,No,,,District,District
3619-33,Vincent High,7501 N Granville Rd,Milwaukee WI  53224-3927,Milwaukee,53224,Fails to Meet Expectations,32.1,999,High School,26.8,80.2,0.5,9,12,15.5,11.9,3.6,,,,57.8,16.4,17.9,23.5,63.8,63.8,,,,Public school,No,,,District,District
6300-420,Walker Elementary,900 S 119th St,West Allis WI  53214-2107,West Allis,53214,Significantly Exceeds Expectations,83.1,383,Elementary School,12.3,42.6,1,K4,5,84.9,45.1,39.8,78.4,42.5,35.9,76.5,42.4,34.1,,94,,75.6,18.4,,Public school,No,,,District,District
6244-240,Washington Elementary,2166 N 68th St,Wauwatosa WI  53213-1994,Wauwatosa,53213,Exceeds Expectations,78.3,341,Elementary School,13.8,19.9,2.1,K4,5,90,44.2,45.9,54.6,27.3,27.3,59.8,28.1,31.7,,94.6,,76.1,18.5,,Public school,No,,,District,District
6244-110,Wauwatosa Montessori School,12121 W North Ave,Wauwatosa WI  53226-2096,Wauwatosa,53226,Significantly Exceeds Expectations,91.9,165,Elementary School,7.3,7.3,0,K4,8,93.8,49.6,44.2,85.1,43.5,41.6,,,,,89.8,,71.3,18.5,,Public school,No,,,District,District
6244-150,Wauwatosa STEM,1060 N Glenview Ave,Wauwatosa WI  53213-3097,Wauwatosa,53213,Significantly Exceeds Expectations,98.1,133,Elementary School,12.8,3,1.5,KG,5,100,50,50,87.8,50,37.8,,,,,96,,77,19,,Public school,No,,,District,District
6244-430,Wauwatosa Virtual Academy,12121 W North Ave,Wauwatosa WI  53226-2096,Wauwatosa,53226,Fails to Meet Expectations,32.2,98,High School,7.1,14.3,0,6,12,37.3,22.4,14.9,,,,,,,,36.8,36.8,,,,Public school,Yes,Instrumentality,Wauwatosa,District,District Instrumentality Charter
